EPS (earnings per share), DPS (Dividend Per Share),NTA(Net Tangible Assets,Revenue,PL, Quarter, QDate,Year, Announced,ROE,QoQ%, YoY%,Report
18.09,0,5.4422,8.4b,1.6b,1,3/31/2014,"31 Dec, 2014",5/29/2014,3.30%,7.50%,6.30%,View
19.58,31,5.1904,8.3b,1.7b,4,12/31/2013,"31 Dec, 2013",2/27/2014,3.80%,0.80%,18.60%,View
20.05,0,5.1143,8.4b,1.7b,3,9/30/2013,"31 Dec, 2013",11/21/2013,3.90%,11.40%,16.30%,View
18.23,22.5,5.1224,8.7b,1.6b,2,6/30/2013,"31 Dec, 2013",8/21/2013,3.60%,4.10%,9%,View
17.87,0,5.1423,8.2b,1.5b,1,3/31/2013,"31 Dec, 2013",5/23/2013,3.50%,3.20%,11.80%,View
17.29,33,5.0034,7.0b,1.5b,4,12/31/2012,"31 Dec, 2012",2/21/2013,3.50%,2.70%,15.90%,View
19.11,0,4.729,7.0b,1.5b,3,9/30/2012,"31 Dec, 2012",11/9/2012,4.00%,4.40%,13%,View
18.64,32,4.6582,6.9b,1.4b,2,6/30/2012,"31 Dec, 2012",8/16/2012,4.00%,6.70%,24.50%,View
17.63,0,4.4521,6.7b,1.3b,1,3/31/2012,"31 Dec, 2012",5/24/2012,4.00%,3.90%,17.90%,View
17.22,36,4.378,6.8b,1.3b,-,12/31/2011,"31 Dec, 2011",2/23/2012,3.90%,0.80%,15.20%,View
17.2,0,4.41,6.1b,1.3b,-,9/30/2011,"31 Dec, 2011",11/14/2011,3.90%,11.40%,25.10%,View
15.54,32,4.2071,5.7b,1.2b,4,6/30/2011,"30 Jun, 2011",8/22/2011,3.70%,1%,26.50%,View
15.6,0,4.0801,5.1b,1.1b,3,3/31/2011,"30 Jun, 2011",5/12/2011,3.80%,1.50%,10.90%,View
15.72,28,3.9505,5.2b,1.1b,2,12/31/2010,"30 Jun, 2011",2/21/2011,4.00%,9.40%,13.30%,View
14.53,0,4.0007,5.0b,1.0b,1,9/30/2010,"30 Jun, 2011",11/12/2010,3.60%,12.70%,16.60%,View
12.89,44,3.9386,4.7b,912.5m,4,6/30/2010,"30 Jun, 2010",8/20/2010,3.30%,11.40%,181.60%,View
14.56,0,3.8039,4.6b,1.0b,3,3/31/2010,"30 Jun, 2010",5/13/2010,3.80%,3.70%,104.70%,View
14.04,11,3.8006,4.7b,993.5m,2,12/31/2009,"30 Jun, 2010",2/9/2010,3.70%,12.70%,35.30%,View
12.46,0,3.6676,2.0b,881.8m,1,9/30/2009,"30 Jun, 2010",11/12/2009,3.40%,178.90%,54.10%,View
-17.62,0.08,3.5179,4.9b,-1.1b,4,6/30/2009,"30 Jun, 2009",8/25/2009,-5.00%,322.20%,259%,View
10.31,0,4.2166,4.3b,503.3m,3,3/31/2009,"30 Jun, 2009",5/21/2009,2.40%,31.50%,33.70%,View
15.05,0,4.1443,4.7b,734.6m,2,12/31/2008,"30 Jun, 2009",2/27/2009,3.60%,28.40%,0.50%,View
11.72,0,4.0846,3.8b,572.2m,1,9/30/2008,"30 Jun, 2009",11/11/2008,2.90%,18.60%,22.20%,View
14.41,20,3.9545,4.5b,703.2m,4,6/30/2008,"30 Jun, 2008",8/27/2008,3.60%,7.30%,33.20%,View
15.52,0,4.0465,3.7b,758.6m,3,3/31/2008,"30 Jun, 2008",5/14/2008,3.80%,3.80%,0.80%,View
18.76,15,4.9872,4.0b,731.0m,2,12/31/2007,"30 Jun, 2008",2/20/2008,3.80%,0.60%,7.70%,View
18.9,17.5,5.115,3.9b,735.4m,1,9/30/2007,"30 Jun, 2008",11/15/2007,3.70%,31.70%,29.30%,View
27.69,40,4.9361,3.8b,1.1b,4,6/30/2007,"30 Jun, 2007",8/29/2007,5.60%,42.70%,28.10%,View
19.5,0,4.9121,4.0b,754.6m,3,3/31/2007,"30 Jun, 2007",5/11/2007,4.00%,4.40%,18%,View
20.58,40,4.6608,3.5b,789.1m,2,12/31/2006,"30 Jun, 2007",2/21/2007,4.40%,37%,24.50%,View
15.15,0,4.6659,3.6b,576.0m,1,9/30/2006,"30 Jun, 2007",11/14/2006,3.20%,32.70%,14.40%,View
22.54,35,4.4156,2.9b,855.4m,4,6/30/2006,"30 Jun, 2006",8/24/2006,5.10%,33.40%,50.80%,View
16.93,0,4.46,3.3b,641.2m,3,3/31/2006,"30 Jun, 2006",5/15/2006,3.80%,1.10%,6.60%,View
16.9,0,4.45,3.3b,634.1m,2,12/31/2005,"30 Jun, 2006",2/15/2006,3.80%,5.80%,8.60%,View
18.06,50,4.62,3.2b,672.9m,1,9/30/2005,"30 Jun, 2006",11/17/2005,3.90%,18.60%,21.20%,View
15.3,60,4.41,3.7b,567.3m,4,6/30/2005,"30 Jun, 2005",9/1/2005,3.50%,17.40%,12.30%,View
18.63,0,4.25,2.5b,686.7m,3,3/31/2005,"30 Jun, 2005",5/13/2005,4.40%,1%,0.40%,View
19.13,42.5,4.31,2.6b,693.5m,2,12/31/2004,"30 Jun, 2005",2/18/2005,4.40%,25%,17%,View
15.42,0,4.22,2.5b,555.0m,1,9/30/2004,"30 Jun, 2005",11/8/2004,3.70%,14.20%,10.70%,View
18,25,4.06,3.5b,646.7m,4,6/30/2004,"30 Jun, 2004",8/30/2004,4.40%,5.40%,4.70%,View
19,0,3.89,2.4b,683.9m,3,3/31/2004,"30 Jun, 2004",5/11/2004,4.90%,15.40%,40.30%,View
16.46,35,3.95,2.4b,592.7m,2,12/31/2003,"30 Jun, 2004",2/25/2004,4.20%,18.30%,29.30%,View
13.92,0,3.91,2.3b,501.2m,1,9/30/2003,"30 Jun, 2004",11/7/2003,3.60%,20.50%,31.50%,View
17.6,0,3.76,2.9b,630.1m,4,6/30/2003,"30 Jun, 2003",8/25/2003,4.70%,34.50%,92.20%,View
13.15,0,3.29,2.3b,468.6m,3,3/31/2003,"30 Jun, 2003",5/7/2003,4.00%,10.80%,19%,View
14.77,35,3.49,2.4b,525.2m,2,12/31/2002,"30 Jun, 2003",2/17/2003,4.20%,41%,37.70%,View
10.49,0,3.34,2.4b,372.6m,1,9/30/2002,"30 Jun, 2003",11/8/2002,3.10%,0%,0.20%,View
